Article,variable,group_id,Temperature,Headspace,mean,sd,n,se
Lee 2012,mg CO2 / g dry soil * day,Ae_oEXT_15C,15,Aerobic,266.9987547,251.5908883,3,43.79635209
Lee 2012,mg CO2 / g dry soil * day,Ae_oMIN_15C,15,Aerobic,191.7808219,78.7489827,3,13.12483045
Lee 2012,mg CO2 / g dry soil * day,Ae_oMOD_15C,15,Aerobic,164.805058,114.7083195,3,18.36803143
Lee 2012,mg CO2 / g dry soil * day,Ae_SIB_15C,15,Aerobic,7.730363006,1.985029169,3,0.345549225
Lee 2012,mg CO2 / g dry soil * day,Ae_TLK_15C,15,Aerobic,9.16470422,4.10361222,3,0.657103849
Lee 2012,mg CO2 / g dry soil * day,AL_ITK1_15C,15,Aerobic,11.76274945,3.593471688,3,0.625543128
Lee 2012,mg CO2 / g dry soil * day,AL_ITK2_15C,15,Aerobic,7.235772358,2.284656738,3,0.380776123
Lee 2012,mg CO2 / g dry soil * day,AL_SAG_15C,15,Aerobic,3.869179601,1.320333486,3,0.229840558
Lee 2012,mg CO2 / g dry soil * day,An_FOX_15C,15,Anaerobic,1.035046729,1.283635589,3,0.213939265
Lee 2012,mg CO2 / g dry soil * day,An_ITK1_15C,15,Anaerobic,1.420930233,1.689716935,3,0.281619489
Lee 2012,mg CO2 / g dry soil * day,An_ITK2_15C,15,Anaerobic,1.144186047,1.037790298,3,0.17296505
Lee 2012,mg CO2 / g dry soil * day,An_mEXT_15C,15,Anaerobic,1.353488372,1.147522594,3,0.191253766
Lee 2012,mg CO2 / g dry soil * day,An_mMIN_15C,15,Anaerobic,1.38372093,1.357097257,3,0.226182876
Lee 2012,mg CO2 / g dry soil * day,AN_mMOD_15C,15,Anaerobic,0.602325581,0.449901246,3,0.074983541
Lee 2012,mg CO2 / g dry soil * day,An_oEXT_15C,15,Anaerobic,25.57788945,34.8588599,3,5.809809983
Lee 2012,mg CO2 / g dry soil * day,An_oMIN_15C,15,Anaerobic,18.24120603,23.89772543,3,3.982954238
Lee 2012,mg CO2 / g dry soil * day,An_oMOD_15C,15,Anaerobic,20.50251256,24.81370566,3,4.13561761
Lee 2012,mg CO2 / g dry soil * day,An_SAG_15C,15,Anaerobic,0.53255814,0.428460438,3,0.071410073
Lee 2012,mg CO2 / g dry soil * day,An_SIB_15C,15,Anaerobic,0.820730671,0.683225744,3,0.113870957
Lee 2012,mg CO2 / g dry soil * day,An_TLK_15C,15,Anaerobic,0.413551402,0.365196028,3,0.060866005
